problem,algorithm,best_value,rank
Ackley,DE,11.408685656796123,3.0
Ackley,GA,2.276726990420594,1.0
Ackley,MonteCarlo,17.70674968191075,4.0
Ackley,PSO,4.095581989990169,2.0
Alpine1,DE,5.365116897448809,3.0
Alpine1,GA,0.07902764524459754,1.0
Alpine1,MonteCarlo,6.850574568357546,4.0
Alpine1,PSO,1.1148116318386276,2.0
DixonPrice,DE,151.05078155691268,3.0
DixonPrice,GA,0.9721964754142658,1.0
DixonPrice,MonteCarlo,5341.578759314258,4.0
DixonPrice,PSO,4.284782098690425,2.0
GraphAlloc-Dense-12,DE,-10.462851003220237,3.0
GraphAlloc-Dense-12,GA,-10.495306852597908,1.0
GraphAlloc-Dense-12,MonteCarlo,-10.116994723693955,4.0
GraphAlloc-Dense-12,PSO,-10.470058700898289,2.0
GraphAlloc-Dense-20,DE,-11.894803855614455,3.0
GraphAlloc-Dense-20,GA,-11.99486762153662,2.0
GraphAlloc-Dense-20,MonteCarlo,-11.094439449476749,4.0
GraphAlloc-Dense-20,PSO,-12.005976793351014,1.0
GraphAlloc-Sparse-12,DE,-8.858886425984878,3.0
GraphAlloc-Sparse-12,GA,-8.981397140637107,1.0
GraphAlloc-Sparse-12,MonteCarlo,-8.649153389223144,4.0
GraphAlloc-Sparse-12,PSO,-8.944323131855722,2.0
GraphAlloc-Sparse-20,DE,-11.67461963154524,3.0
GraphAlloc-Sparse-20,GA,-11.803001423243124,1.0
GraphAlloc-Sparse-20,MonteCarlo,-10.885494849177181,4.0
GraphAlloc-Sparse-20,PSO,-11.767804774066942,2.0
Griewank,DE,1.1142462668129625,3.0
Griewank,GA,0.3766500267353476,1.0
Griewank,MonteCarlo,2.106553703238946,4.0
Griewank,PSO,0.7681628695580456,2.0
Levy,DE,3.2619961766095615,3.0
Levy,GA,0.035017534303911066,1.0
Levy,MonteCarlo,10.183059795406479,4.0
Levy,PSO,0.24642648684295787,2.0
Rastrigin,DE,50.92840481183321,3.0
Rastrigin,GA,8.194156926957668,1.0
Rastrigin,MonteCarlo,62.71665400273915,4.0
Rastrigin,PSO,29.520440279103447,2.0
Rosenbrock,DE,72.47086560449458,3.0
Rosenbrock,GA,7.025068520958601,1.0
Rosenbrock,MonteCarlo,502.98883284233045,4.0
Rosenbrock,PSO,10.173622541038231,2.0
Routing-Dense-14,DE,38.49438278420132,3.0
Routing-Dense-14,GA,38.0305531585187,1.0
Routing-Dense-14,MonteCarlo,40.431101606224814,4.0
Routing-Dense-14,PSO,38.072897306406375,2.0
Routing-Dense-22,DE,40.95068392302545,2.0
Routing-Dense-22,GA,40.83777185928771,1.0
Routing-Dense-22,MonteCarlo,43.45965528753513,4.0
Routing-Dense-22,PSO,40.99700194958626,3.0
Routing-Sparse-14,DE,59.55999906600809,3.0
Routing-Sparse-14,GA,58.79850368922648,1.0
Routing-Sparse-14,MonteCarlo,67.61529967037198,4.0
Routing-Sparse-14,PSO,58.97304324476696,2.0
Routing-Sparse-22,DE,138.4924594761262,2.0
Routing-Sparse-22,GA,138.42186778010034,1.0
Routing-Sparse-22,MonteCarlo,143.45945058349312,4.0
Routing-Sparse-22,PSO,138.54832561695213,3.0
Salomon,DE,3.2243934091144215,3.0
Salomon,GA,0.5331321514436153,1.0
Salomon,MonteCarlo,7.602054616748886,4.0
Salomon,PSO,1.253103452532935,2.0
Schwefel,DE,1458.5689982362985,3.0
Schwefel,GA,1033.2594554669586,2.0
Schwefel,MonteCarlo,1617.7734124444557,4.0
Schwefel,PSO,939.0853030539647,1.0
Sphere,DE,1.6586493203573893,3.0
Sphere,GA,0.010956390567029187,1.0
Sphere,MonteCarlo,10.506049044195366,4.0
Sphere,PSO,0.07275334606686577,2.0
StyblinskiTang,DE,-229.34677485315422,4.0
StyblinskiTang,GA,-284.11370804076773,1.0
StyblinskiTang,MonteCarlo,-232.58685277299492,3.0
StyblinskiTang,PSO,-283.5519119965038,2.0
Zakharov,DE,18.085443574106016,3.0
Zakharov,GA,2.7663274425659057,1.0
Zakharov,MonteCarlo,52.00006663086401,4.0
Zakharov,PSO,6.3509764895231555,2.0
