problem,family,algorithm,trial,seed,budget,evaluations,best_value,runtime_seconds
Sphere,continuous,GA,1,2027,1000,1000,0.0069543947057735455,0.05614590000004682
Sphere,continuous,GA,2,2028,1000,1000,0.01946481039876255,0.05161820000012085
Sphere,continuous,GA,3,2029,1000,1000,0.011419653258149608,0.08176730000013777
Sphere,continuous,GA,4,2030,1000,1000,0.0038179567642067616,0.06254990000070393
Sphere,continuous,GA,5,2031,1000,1000,0.0033882448186543356,0.046313499999996566
Sphere,continuous,GA,6,2032,1000,1000,0.01731540609269989,0.050228600000082224
Sphere,continuous,GA,7,2033,1000,1000,0.03073412601357651,0.05161429999952816
Sphere,continuous,GA,8,2034,1000,1000,0.008756692300352021,0.04904759999953967
Sphere,continuous,GA,9,2035,1000,1000,0.022090448456715202,0.04287170000043261
Sphere,continuous,GA,10,2036,1000,1000,0.019238209247103476,0.053894900000159396
Sphere,continuous,GA,11,2037,1000,1000,0.008709922921955687,0.05611239999961981
Sphere,continuous,GA,12,2038,1000,1000,0.008685993448421891,0.04942250000021886
Sphere,continuous,GA,13,2039,1000,1000,0.005180684209227671,0.048568600000180595
Sphere,continuous,GA,14,2040,1000,1000,0.03263673080724419,0.04964000000018132
Sphere,continuous,GA,15,2041,1000,1000,0.010493127875908767,0.04474630000004254
Sphere,continuous,GA,16,2042,1000,1000,0.0158501660851715,0.05037040000024717
Sphere,continuous,GA,17,2043,1000,1000,0.0076067367263756595,0.04479589999937161
Sphere,continuous,GA,18,2044,1000,1000,0.006505524503999527,0.04409890000079031
Sphere,continuous,GA,19,2045,1000,1000,0.0383723546221531,0.04144969999924797
Sphere,continuous,GA,20,2046,1000,1000,0.04445193099753322,0.044588300000214076
Sphere,continuous,GA,21,2047,1000,1000,0.0197945947769119,0.045715900000686815
Sphere,continuous,GA,22,2048,1000,1000,0.020031611858043266,0.04226699999981065
Sphere,continuous,GA,23,2049,1000,1000,0.005663308267439756,0.047207600000547245
Sphere,continuous,GA,24,2050,1000,1000,0.0055207685867059274,0.055702300000120886
Sphere,continuous,GA,25,2051,1000,1000,0.01219250611365981,0.04332050000084564
Sphere,continuous,GA,26,2052,1000,1000,0.005372873719729633,0.08960830000069109
Sphere,continuous,GA,27,2053,1000,1000,0.03344377471751921,0.05354139999963081
Sphere,continuous,GA,28,2054,1000,1000,0.012303283178638841,0.04330579999987094
Sphere,continuous,GA,29,2055,1000,1000,0.0064930365138691085,0.0434413000002678
Sphere,continuous,GA,30,2056,1000,1000,0.0088840317363755,0.04628279999997176
Sphere,continuous,PSO,1,3027,1000,1000,0.05308382015597897,0.00550070000008418
Sphere,continuous,PSO,2,3028,1000,1000,0.08377002985442719,0.004211800000121002
Sphere,continuous,PSO,3,3029,1000,1000,0.036236525224094124,0.005719100000533217
Sphere,continuous,PSO,4,3030,1000,1000,0.21999224938961126,0.006044800000381656
Sphere,continuous,PSO,5,3031,1000,1000,0.10920603942767602,0.005595199999334
Sphere,continuous,PSO,6,3032,1000,1000,0.1584898656364656,0.005079700000351295
Sphere,continuous,PSO,7,3033,1000,1000,0.08157599922922903,0.004660599999624537
Sphere,continuous,PSO,8,3034,1000,1000,0.017325020615785943,0.004890299999715353
Sphere,continuous,PSO,9,3035,1000,1000,0.016574104999522048,0.0058214000000589294
Sphere,continuous,PSO,10,3036,1000,1000,0.2786187647386702,0.004448700000466488
Sphere,continuous,PSO,11,3037,1000,1000,0.05898930081370597,0.004995500000404718
Sphere,continuous,PSO,12,3038,1000,1000,0.026710973984674587,0.00447359999998298
Sphere,continuous,PSO,13,3039,1000,1000,0.07768130663241599,0.005130699999426724
Sphere,continuous,PSO,14,3040,1000,1000,0.20912638359944946,0.005627800000183925
Sphere,continuous,PSO,15,3041,1000,1000,0.15542980582973362,0.004885700000158977
Sphere,continuous,PSO,16,3042,1000,1000,0.16611288868462715,0.00477969999974448
Sphere,continuous,PSO,17,3043,1000,1000,0.036797828341344395,0.004673299999922165
Sphere,continuous,PSO,18,3044,1000,1000,0.039832489308506386,0.00436100000024453
Sphere,continuous,PSO,19,3045,1000,1000,0.06713480250481679,0.004602500000146392
Sphere,continuous,PSO,20,3046,1000,1000,0.0821920684153678,0.00481119999949442
Sphere,continuous,PSO,21,3047,1000,1000,0.08716942271092798,0.005525999999917985
Sphere,continuous,PSO,22,3048,1000,1000,0.04157629233436895,0.005209399999330344
Sphere,continuous,PSO,23,3049,1000,1000,0.08210419283706122,0.004950499999722524
Sphere,continuous,PSO,24,3050,1000,1000,0.06782538550131556,0.004724800000076357
Sphere,continuous,PSO,25,3051,1000,1000,0.041763325099938506,0.00517889999991894
Sphere,continuous,PSO,26,3052,1000,1000,0.09956785583869784,0.004672500000197033
Sphere,continuous,PSO,27,3053,1000,1000,0.03149252950311021,0.00456309999935911
Sphere,continuous,PSO,28,3054,1000,1000,0.1482518833602388,0.004412799999954586
Sphere,continuous,PSO,29,3055,1000,1000,0.03176562975998147,0.0052806000003329245
Sphere,continuous,PSO,30,3056,1000,1000,0.06294419254008138,0.005716800000300282
Sphere,continuous,DE,1,4027,1000,1000,3.387252010354938,0.0423731000000771
Sphere,continuous,DE,2,4028,1000,1000,1.4264713556131858,0.04211279999981343
Sphere,continuous,DE,3,4029,1000,1000,2.3129130783945318,0.04311810000035621
Sphere,continuous,DE,4,4030,1000,1000,2.592223355323432,0.049615900000389956
Sphere,continuous,DE,5,4031,1000,1000,0.6098903909159897,0.04188949999934266
Sphere,continuous,DE,6,4032,1000,1000,1.425983789511446,0.043615800000225136
Sphere,continuous,DE,7,4033,1000,1000,2.7106640197965395,0.04328110000005836
Sphere,continuous,DE,8,4034,1000,1000,3.9436487040854122,0.042678199999500066
Sphere,continuous,DE,9,4035,1000,1000,1.919308722761238,0.04465930000060325
Sphere,continuous,DE,10,4036,1000,1000,1.1383172831609674,0.04467970000041532
Sphere,continuous,DE,11,4037,1000,1000,1.527544966270678,0.040953499999886844
Sphere,continuous,DE,12,4038,1000,1000,0.9135496026054026,0.038533999999344815
Sphere,continuous,DE,13,4039,1000,1000,2.8085733071878147,0.0424817000002804
Sphere,continuous,DE,14,4040,1000,1000,1.7654381683375475,0.04260340000018914
Sphere,continuous,DE,15,4041,1000,1000,0.7721314584924277,0.038071599999966566
Sphere,continuous,DE,16,4042,1000,1000,2.2983649974878713,0.04343019999942044
Sphere,continuous,DE,17,4043,1000,1000,0.600015348153243,0.04646709999997256
Sphere,continuous,DE,18,4044,1000,1000,3.297029099815089,0.04257500000039727
Sphere,continuous,DE,19,4045,1000,1000,2.962967830510333,0.039720499999930325
Sphere,continuous,DE,20,4046,1000,1000,2.013112536757737,0.04447970000001078
Sphere,continuous,DE,21,4047,1000,1000,0.6830203797908553,0.04351150000002235
Sphere,continuous,DE,22,4048,1000,1000,1.5518604723772311,0.04443450000053417
Sphere,continuous,DE,23,4049,1000,1000,1.0423714212947162,0.04559789999984787
Sphere,continuous,DE,24,4050,1000,1000,2.9780927377150044,0.03582240000014281
Sphere,continuous,DE,25,4051,1000,1000,1.29664556368901,0.04467430000022432
Sphere,continuous,DE,26,4052,1000,1000,1.5272504767751722,0.044574999999895226
Sphere,continuous,DE,27,4053,1000,1000,2.575158802710713,0.044268300000112504
Sphere,continuous,DE,28,4054,1000,1000,1.4966429241828578,0.042800700000043435
Sphere,continuous,DE,29,4055,1000,1000,1.4596480664124267,0.05337439999948401
Sphere,continuous,DE,30,4056,1000,1000,2.0769168618161817,0.04395750000003318
Sphere,continuous,MonteCarlo,1,5027,1000,1000,10.863685427617163,0.01498139999966952
Sphere,continuous,MonteCarlo,2,5028,1000,1000,11.800274532413182,0.017065899999579415
Sphere,continuous,MonteCarlo,3,5029,1000,1000,10.200342196891732,0.01687820000006468
Sphere,continuous,MonteCarlo,4,5030,1000,1000,9.147824365493506,0.013963800000055926
Sphere,continuous,MonteCarlo,5,5031,1000,1000,6.551721139353124,0.015448400000423135
Sphere,continuous,MonteCarlo,6,5032,1000,1000,11.944619390910958,0.015160799999648589
Sphere,continuous,MonteCarlo,7,5033,1000,1000,13.40955717841775,0.01605120000021998
Sphere,continuous,MonteCarlo,8,5034,1000,1000,12.225905990758754,0.014590200000384357
Sphere,continuous,MonteCarlo,9,5035,1000,1000,9.701477115198527,0.016345600000022387
Sphere,continuous,MonteCarlo,10,5036,1000,1000,8.69729248434954,0.013970299999527924
Sphere,continuous,MonteCarlo,11,5037,1000,1000,10.12657775364019,0.01304930000060267
Sphere,continuous,MonteCarlo,12,5038,1000,1000,6.651645982045366,0.014630599999691185
Sphere,continuous,MonteCarlo,13,5039,1000,1000,8.173325384782842,0.013627700000142795
Sphere,continuous,MonteCarlo,14,5040,1000,1000,10.331451783387848,0.014555800000380259
Sphere,continuous,MonteCarlo,15,5041,1000,1000,13.117342300525953,0.020726599999761675
Sphere,continuous,MonteCarlo,16,5042,1000,1000,6.998723845402285,0.018362400000114576
Sphere,continuous,MonteCarlo,17,5043,1000,1000,10.680646305002885,0.01918440000008559
Sphere,continuous,MonteCarlo,18,5044,1000,1000,12.919209111816347,0.01754160000018601
Sphere,continuous,MonteCarlo,19,5045,1000,1000,11.745693218623703,0.020562700000482437
Sphere,continuous,MonteCarlo,20,5046,1000,1000,20.338908780697963,0.017438899999433488
Sphere,continuous,MonteCarlo,21,5047,1000,1000,8.407905186699674,0.018129499999304244
Sphere,continuous,MonteCarlo,22,5048,1000,1000,6.148004416397209,0.01936180000029708
Sphere,continuous,MonteCarlo,23,5049,1000,1000,9.268653827182876,0.01881000000048516
Sphere,continuous,MonteCarlo,24,5050,1000,1000,8.85684307356133,0.016697500000191212
